"","Id","country","city","settlement","establish","population","structures","kyc_pop","kyc_year","gpw20","gpw15","ghs15","hrsl18","wp_pb20","wp_u18","wp_u15","wp_c20","wpe16","ls18","ls15","grid16","area_m2"
"25","27","Tanzania","Dar es Salaam","KEKO B","05-12-2016","8556","668",8556,2016,4395.47265625,3267.19384765625,4063.93359375,8482.34765625,2108.29833984375,5633.935546875,4807.10205078125,8235.3037109375,1.91087472438812,12573.140625,12328.5712890625,4395.47265625,187523.390511338
"26","28","Tanzania","Dar es Salaam","KEKO MACHUNGWA","05-12-2017","21230","952",21230,2017,15821.609375,11760.482421875,8351.505859375,11810.1181640625,5676.2509765625,10380.6767578125,8442.15625,17273.94921875,8.19883441925049,38393.60546875,37647.96484375,15821.609375,608032.247578698
"27","29","Tanzania","Dar es Salaam","KEKO MWANGA  A","14-11-2016","12500","479",12500,2016,12087.7314453125,8881.509765625,9595.9912109375,18547.05078125,2808.2744140625,14834.044921875,12416.4609375,11642.4716796875,5.07997274398804,20516.39453125,25601.619140625,12087.7314453125,397884.226899996
"28","30","Tanzania","Dar es Salaam","KEKO MWANGA B","14-11-2016","28770","1184",28770,2016,12720.708984375,9417.052734375,9765.646484375,15404.5712890625,4445.38232421875,12965.552734375,11055.0048828125,15575.2705078125,3.90666365623474,22044.55859375,24423.84765625,12720.708984375,383379.837428145
"29","31","Tanzania","Dar es Salaam","KICHANGANI","06-12-2016","8930","1035",8930,2016,10901.7705078125,8103.76904296875,8526.0185546875,10277.107421875,3627.31616210938,10874.8828125,9251.6494140625,13947.4296875,4.3872184753418,2641.10131835938,2300.34375,10901.7705078125,205321.825232636
"30","32","Tanzania","Dar es Salaam","KIDAGAA","06-05-2019","23400","1305",23400,2019,12013.3125,8911.1396484375,9147.861328125,12804.306640625,7529.43017578125,12182.6044921875,10018.677734375,15322.9111328125,13.8379898071289,5203.1669921875,1629.62768554688,12013.3125,647617.923141017
"31","33","Tanzania","Dar es Salaam","KIGILAGILA","14-11-2016","69356","3601",69356,2016,15883.7109375,11451.1669921875,12602.4453125,18710.509765625,5858.31396484375,13971.3447265625,11843.8447265625,19887.92578125,11.9060230255127,5227.03857421875,5784.90625,15883.7109375,557201.875054628
"32","34","Tanzania","Dar es Salaam","KIGOGO KATI","29-11-2017","19380","2617",19380,2017,28145.19140625,21471.046875,17941.099609375,26920.345703125,7399.0029296875,21967.197265625,18863.326171875,26958.51953125,11.0850124359131,25738.193359375,31963.818359375,28145.19140625,518778.583874837
"33","35","Tanzania","Dar es Salaam","KIGUNGA","05-12-2017","9090","500",9090,2017,16560.77734375,12309.7314453125,8813.3017578125,12128.9521484375,3358.78491210938,12464.978515625,10698.7587890625,13016.8857421875,6.23285245895386,4026.14135742188,3536.25512695312,16560.77734375,291697.497856975
"34","36","Tanzania","Dar es Salaam","KILAKALA","05-12-2017","11610","1537",11610,2017,7128.6640625,5270.1611328125,23950.630859375,20511.99609375,7056.47607421875,20782.6328125,17464.71484375,26009.189453125,259.345123291016,2146.78051757812,1851.07666015625,7128.6640625,156551.17507901
"35","37","Tanzania","Dar es Salaam","KILIMANI","30-11-2017","6400","1652",6400,2017,25888.1875,20070.513671875,15702.7880859375,26858.447265625,5251.8935546875,19253.802734375,16328.37890625,21347.091796875,8.38454055786133,12566.8623046875,17765.837890625,25888.1875,392396.481056005
"36","39","Tanzania","Dar es Salaam","KIMARA BARUTI","07-12-2017","12894","1918",12894,2017,10372.71484375,8041.7255859375,7214.8837890625,9911.953125,5946.23583984375,11919.99609375,9559.3203125,11058.7587890625,20.8031215667725,5427.00537109375,3908.38696289062,10372.71484375,973586.108623385
